(-999985492, -1)
(-999964184, -1)
(-999960299, -1)
(-999953994, -1)
(-999938864, -1)
(-999926682, -1)
(-999924738, -1)
(-999923910, -1)
(-999898624, -1)
(-999889649, -1)
(-999886589, -1)
(-999886350, -1)
(-999880867, 0)
(-999873633, -1)
(-999835573, -1)
(-999829060, -1)
(-999820601, -1)
(-999801001, -1)
(-999800050, -1)
(-999780250, -1)
(-999779741, -1)
(-999772108, -1)
(-999763895, -1)
(-999761573, -1)
(-999753614, -1)
(-999744177, 0)
(-999732550, -1)
(-999705518, -1)
(-999705194, -1)
(-999700633, -1)
(-999678869, -1)
(-999676858, -1)
(-999671949, -1)
(-999671016, -1)
(-999661437, -1)
(-999644600, -1)
(-999642246, -1)
(-999616489, -1)
(-999586621, -1)
(-999586392, 0)
(-999569350, -1)
(-999561101, -1)
(-999554024, -1)
(-999545624, -1)
(-999474646, -1)
(-999472555, 0)
(-999466179, 0)
(-999463556, -1)
(-999460486, -1)
(-999457209, -1)
(-999441657, -1)
(-999439091, -1)
(-999410494, -1)
(-999374881, -1)
(-999368360, -1)
(-999367842, -1)
(-999357778, -1)
(-999341190, -1)
(-999336974, -1)
(-999322635, -1)
(-999307754, -1)
(-999301662, -1)
(-999300620, -1)
(-999299819, -1)
(-999299592, -1)
(-999296117, -1)
(-999288686, -1)
(-999287589, -1)
(-999259539, -1)
(-999241021, -1)
(-999238586, -1)
(-999230812, -1)
(-999230454, -1)
(-999157057, -1)
(-999156537, 0)
(-999132148, -1)
(-999128547, -1)
(-999121893, -1)
(-999119570, -1)
(-999116594, -1)
(-999110559, -1)
(-999106099, -1)
(-999090299, -1)
(-999086371, -1)
(-999081535, -1)
(-999047381, -1)
(-999044424, 0)
(-999043952, 0)
(-999042138, -1)
(-999031085, -1)
(-999025303, -1)
(-999021230, -1)
(-999017283, -1)
(-998994391, -1)
(-998986638, -1)
(-998971689, -1)
(-998915290, -1)
(-998908999, -1)
(-998891246, -1)
(-998869761, -1)
(-998866350, -1)
(-998841218, -1)
(-998831918, 0)
(-998801517, -1)
(-998787349, -1)
(-998778897, -1)
(-998765022, -1)
(-998720092, -1)
(-998708389, 0)
(-998703791, 0)
(-998696073, -1)
(-998684163, -1)
(-998670786, -1)
(-998657532, -1)
(-998637982, -1)
(-998626386, -1)
(-998625744, -1)
(-998618937, -1)
(-998601748, -1)
(-998554163, 0)
(-998541617, -1)
(-998540691, -1)
(-998533855, -1)
(-998516405, -1)
(-998513290, -1)
(-998513196, -1)
(-998512543, -1)
(-998503639, -1)
(-998488056, -1)
(-998483465, -1)
(-998475136, -1)
(-998468533, -1)
(-998463328, -1)
(-998456642, -1)
(-998440315, -1)
(-998439606, -1)
(-998394836, -1)
(-998387959, -1)
(-998386648, -1)
(-998378578, -1)
(-998377125, -1)
(-998374764, -1)
(-998356725, -1)
(-998337563, -1)
(-998326893, -1)
(-998320652, -1)
(-998310016, -1)
(-998304765, -1)
(-998300567, -1)
(-998272859, -1)
(-998260666, -1)
(-998242221, -1)
(-998230398, -1)
(-998200929, -1)
(-998200094, -1)
(-998196261, -1)
(-998193900, -1)
(-998188384, -1)
(-998180992, -1)
(-998180733, -1)
(-998179154, -1)
(-998161428, 0)
(-998158588, -1)
(-998144271, -1)
(-998139190, -1)
(-998120401, -1)
(-998114921, -1)
(-998109506, -1)
(-998106657, -1)
(-998106333, -1)
(-998063321, -1)
(-998055839, -1)
(-998051675, -1)
(-998050693, -1)
(-998046341, -1)
(-998041241, -1)
(-998027498, -1)
(-998022676, -1)
(-998009359, -1)
(-998000743, -1)
(-997999824, -1)
(-997998277, 0)
(-997960468, -1)
(-997947799, -1)
(-997918992, -1)
(-997900242, -1)
(-997875315, -1)
(-997850659, -1)
(-997832289, -1)
(-997831279, -1)
(-997814798, -1)
(-997780534, -1)
(-997775120, -1)
(-997752719, -1)
(-997746454, -1)
(-997691374, -1)
(-997688191, -1)
(-997686118, -1)
(-997681779, -1)
(-997666389, -1)
(-997657978, -1)
(-997650335, -1)
(-997646244, -1)
(-997631823, -1)
(-997624426, -1)
(-997615694, -1)
(-997593871, -1)
(-997587516, -1)
(-997565587, -1)
(-997551664, -1)
(-997546759, -1)
(-997544471, 0)
(-997542365, 0)
(-997535150, -1)
(-997524006, 0)
(-997522678, -1)
(-997515033, -1)
(-997514619, -1)
(-997501102, 0)
(-997487178, 0)
(-997465207, -1)
(-997463222, -1)
(-997455227, -1)
(-997421402, -1)
(-997416847, -1)
(-997392886, -1)
(-997379103, -1)
(-997362491, -1)
(-997355750, 0)
(-997349754, -1)
(-997347153, -1)
(-997322342, -1)
(-997315007, -1)
(-997298485, -1)
(-997295411, -1)
(-997292330, -1)
(-997284663, -1)
(-997278139, -1)
(-997267373, -1)
(-997264617, -1)
(-997258733, 0)
(-997256033, -1)
(-997241656, -1)
(-997223448, -1)
(-997191958, -1)
(-997190563, -1)
(-997188182, -1)
(-997187605, -1)
(-997186719, -1)
(-997176995, -1)
(-997163810, -1)
(-997127797, -1)
(-997112854, -1)
(-997088840, -1)
(-997046640, 0)
(-997023638, -1)
(-997003268, -1)
(-996999229, -1)
(-996993632, -1)
(-996984841, -1)
(-996972210, 0)
(-996964244, -1)
(-996954548, 0)
(-996953040, -1)
(-996946095, -1)
(-996933195, -1)
